Designator,Footprint,Quantity,Value,LCSC Part #
"Cboot1, Coutx1",0603,2,100n,
Cin1,1210,1,10u,
Cinx1,0805,1,220n,
"Cout1, Cout2, Cout3",1206,3,47u,
Cvcc1,0603,1,1u,
J1,1824460000 - LSF-SMT 3.500690 3.5SN BK TU,1,1824460000 - LSF-SMT 3.50/06/90 3.5SN BK TU,C19711765/C2997513
L1,IND-SMD_L7.1-W6.6,1,SPM6530T-100M,C112288
LED1,LED0603-RD_BLUE,1,LTST-C193SBKT-5A,C364558
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,"PMBT3904,215",C8667
Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,"BSS84AK,215",C127273
Ren1,0603,1,10k,
"Ren2, Ren3, Ren4, Rfbt1, Rpg1",0603,5,100k,
Ren5,0603,1,2k,
Rfbb_12V1,0603,1,9.09k,
Rfbb_3.3V1,0603,1,43.2k,
Rfbb_5V1,0603,1,24.9k,
Rfbb_9V1,0603,1,12.4k,
Rsel_5V1,0603,1,0,
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,LMR33630ADDAR,C841384
