Designator,Mid X,Mid Y,Rotation,Layer
Cboot1,40.005,-50.165,270.0,top
Cin1,24.13,-52.705,90.0,top
Cinx1,27.305,-52.07,90.0,top
Cout1,22.225,-47.625,270.0,top
Cout2,24.765,-47.625,270.0,top
Cout3,27.305,-47.625,270.0,top
Coutx1,29.21,-48.26,270.0,top
Cvcc1,41.275,-53.975,0.0,top
J1,35.945167,-74.515,0.0,top
L1,34.29,-43.815,180.0,top
LED1,45.72,-50.8,0.0,top
Q1,50.165,-59.69,90.0,top
Q2,45.72,-59.69,90.0,top
Ren1,45.72,-64.135,0.0,top
Ren2,50.165,-64.135,180.0,top
Ren3,50.165,-54.61,0.0,top
Ren4,45.72,-54.61,0.0,top
Ren5,50.165,-50.8,180.0,top
Rfbb_12V1,40.955,-56.515,0.0,top
Rfbb_3.3V1,40.955,-62.23,0.0,top
Rfbb_5V1,40.955,-60.325,0.0,top
Rfbb_9V1,40.955,-58.42,0.0,top
Rfbt1,31.115,-57.15,90.0,top
Rpg1,29.21,-57.15,270.0,top
Rsel_5V1,34.11,-60.325,0.0,top
U1,35.085,-51.43,0.0,top
